TCID,NUM ASEGURADOS,PRIMA ESPERADA,FLUJO,TIPO,RUN,CLAVE,RIESGO,TIPO DE DEDUCIBLE,TIPO DE COASEGURO,PLAN,MONEDA,FECHA SOLICITUD,FECHA EFECTO,CONDUCTO DE COBRO,FORMA DE PAGO,AGENTE,PARTICIPACION,DEDUCIBLE,DEDUCIBLE EN EXCESO,COASEGURO,GURA,SUMA ASEGURADA,TF,GF,CAE,CEC,CEE,CEDA,DENTAL,CEDA PREM,CRFCA,AMCDC,AMCDA1,AMCDA2,AMCDA3,AMCDA4,AMCDA5,AMCDA6,AMCDA7,AMCDA8,AMCDA9,AMCDA10,CETTEC,CETTEA1,CETTEA2,CETTEA3,CETTEA4,CETTEA5,CETTEA6,CETTEA7,CETTEA8,CETTEA9,CETTEA10,DNIC,DNIA1,DNIA2,DNIA3,DNIA4,DNIA5,DNIA6,DNIA7,DNIA8,DNIA9,DNIA10,CMAC,CMAA1,CMAA2,CMAA3,CMAA4,CMAA5,CMAA6,CMAA7,CMAA8,CMAA9,CMAA10,POLIZA
1,11,1424985.2017713855,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,01032026,01032026,AGENTE,MENSUAL,11026,100,25000,NO,10,0,200000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,AMCD,AMCD,AMCD,NO,AMCD,NO,AMCD,NO,AMCD,AMCD,AMCD,CETTE,CETTE,NO,NO,NO,CETTE,NO,CETTE,NO,CETTE,CETTE,CARDENMAR20060101M01,ALFDEPPER19620101H01,ALFPEAMAR19630101M01,CARCEVMON19650101H01,ALFRODGON20060101H01,CAMPIEBAR20120101H01,BRICOLKEL20160101H01,BRELUEVEN20200101H01,BLABAHHUD20210101H01,BIAELIROC20210101H01,ALFJUANAJ20260101H01,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2,7,167634.1202952439,emision,GMM,0,CG-111-X,NO,REI,REI,INTEGRO,PESO,01032026,01032026,AGENTE,TRIMESTRAL,11026,100,29000,NO,10,25,170000000,TF,GF,CAE,NO,NO,CEDA,NO,NO,NO,AMCD,AMCD,NO,NO,AMCD,AMCD,AMCD,NO,NO,NO,NO,CETTE,CETTE,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,AINMEJIRI20050101M01,ANGMEJSOS20050101H01,ADRREBJAQ20090101M01,ANGMOJLAR20130101M01,ARTSULMEL20170101M01,ARTGUSARA20210101M01,ALLDEHJEN20250101M01,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
3,2,61126.32473893219,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,01032026,01032026,AGENTE,ANUAL,11026,100,35000,NO,15,25,400000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,AXECATHAW20040101M01,ALLCERGOD20040101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
4,2,45457.66289423526,emision,GMM,0,CG-111-X,Ambos,REI,REI,PLENO,PESO,01032026,01032026,AGENTE,SEMESTRAL,11026,100,41000,NO,20,50,500000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,ALMPAYMAT20030101M01,ALMQUEPAL20030101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
5,2,38974.50598,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,01032026,01032026,AGENTE,MENSUAL,11026,100,47000,NO,25,50,600000,TF,GF,NO,CEC,NO,CEDA,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,AMAANGVEL20020101M01,AMAAREMAL20020101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
6,2,47203.521370814575,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,01032026,01032026,AGENTE,TRIMESTRAL,11026,100,53000,NO,10,50,700000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,ANABORDIE20010101M01,BARELLRAY20010101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
7,7,71066.24398097578,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,01032026,01032026,AGENTE,ANUAL,11026,100,65000,NO,10,50,800000,NO,NO,NO,NO,NO,CEDA,NO,NO,NO,AMCD,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,ANACIFHOF20000101M01,ABIQUINAV20000101H01,AARRODVIL20080101M01,ADRQUIMAG20120101M01,ABROSOMUR20160101M01,ADAHARGON20200101M01,ALBHARQUE20240101M01,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
8,2,44296.32661086506,emision,GMM,0,CG-111-X,Ambos,REI,REI,PLENO,PESO,01032026,01032026,AGENTE,SEMESTRAL,11026,100,77000,NO,15,0,900000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,ALELANDEL19990101M01,ALFCAZHIN19990101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
9,2,46879.63072018785,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,01032026,01032026,AGENTE,TRIMESTRAL,11026,100,109000,SI,10,25,1500000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,ALFOCAHUR19970101M01,ALORENAMA19970101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
10,2,5352.072,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,ANUAL,11026,100,100000,SI,10,50,2000000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,ALVGARREY19960101M01,ALEREVOLI19960101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
11,7,51404.741031892656,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,SEMESTRAL,11026,100,200000,SI,15,50,2500000,TF,GF,CAE,NO,NO,NO,DP,NO,NO,AMCD,AMCD,AMCD,NO,NO,AMCD,NO,NO,NO,NO,NO,CETTE,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,ANDTAVTOR19950101M01,ALEESQCAS19950101H01,ALIPHIVEN20070101M01,ALMFLOCOR20110101M01,ANAVENESC20150101M01,ANDRAMSAE20190101M01,ANGVIROJE20230101M01,NO,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,
12,2,27726.97417411667,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,MENSUAL,11026,100,300000,SI,20,50,3000000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,ANGVILDIA19940101M01,ANGZAZSAN19940101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
13,7,36887.23419869674,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,TRIMESTRAL,11026,100,400000,SI,25,50,4000000,TF,GF,CAE,NO,NO,NO,DP,NO,NO,AMCD,AMCD,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,CETTE,NO,CETTE,NO,NO,NO,CETTE,NO,NO,NO,NO,ANTGABWAL19930101M01,ARAWASMAT19930101H01,ARMCALGAE20080101H01,BEAPASPAL20120101H01,ARTMILLEB20160101H01,BIAZAPSAM20200101H01,AUGUGAPAE20240101H01,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
14,2,18069.843451220964,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,ANUAL,11026,100,500000,SI,10,0,5000000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BLAOLIALC19920101M01,BREGALMER19920101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
15,2,27696.184211756114,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,SEMESTRAL,11026,100,600000,SI,10,25,20000000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CAMCURVAL19910101M01,CARROBALF19910101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
16,7,263975.1056778477,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,MENSUAL,11026,100,25000,NO,15,25,200000,TF,GF,CAE,CEC,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,AMCD,AMCD,AMCD,NO,NO,NO,NO,CETTE,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,CARTREMAR19900101M01,CARJACLAI19900101H01,BARMALQUI20060101M01,CATMILGRI20100101M01,BENMENPAR20140101M01,CELDEACAR20180101M01,BERLAZTUR20220101M01,NO,NO,NO,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,
17,7,163716.68138236608,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,ANUAL,11026,100,35000,NO,25,50,400000,TF,GF,CAE,CEC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,CETTE,NO,CETTE,NO,CETTE,CETTE,NO,NO,NO,NO,CINLOYBEC19880101M01,CARWATSAL19880101H01,CONCOSWEB20070101H01,CONVERCAL20110101H01,CRIMATFRE20150101H01,CRIFIECAR20190101H01,DANDEJMAS20230101H01,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
18,2,84270.19359,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,01032026,01032026,AGENTE,SEMESTRAL,11026,100,41000,NO,10,50,500000,TF,GF,CAE,CEC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,DIAABUAVI19870101M01,CESCORJOR19870101H01,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
