TCID,NUM ASEGURADOS,PRIMA ESPERADA,FLUJO,TIPO,RUN,CLAVE,RIESGO,TIPO DE DEDUCIBLE,TIPO DE COASEGURO,PLAN,MONEDA,FECHA SOLICITUD,FECHA EFECTO,CONDUCTO DE COBRO,FORMA DE PAGO,AGENTE,PARTICIPACION,DEDUCIBLE,DEDUCIBLE EN EXCESO,COASEGURO,GURA,SUMA ASEGURADA,TF,GF,CAE,CEC,CEE,CEDA,DENTAL,CEDA PREM,CRFCA,AMCDC,AMCDA1,AMCDA2,AMCDA3,AMCDA4,AMCDA5,AMCDA6,AMCDA7,AMCDA8,AMCDA9,AMCDA10,CETTEC,CETTEA1,CETTEA2,CETTEA3,CETTEA4,CETTEA5,CETTEA6,CETTEA7,CETTEA8,CETTEA9,CETTEA10,DNIC,DNIA1,DNIA2,DNIA3,DNIA4,DNIA5,DNIA6,DNIA7,DNIA8,DNIA9,DNIA10,CMAC,CMAA1,CMAA2,CMAA3,CMAA4,CMAA5,CMAA6,CMAA7,CMAA8,CMAA9,CMAA10,POLIZA
1,11,1424985.2017713855,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,03032025,03032025,AGENTE,MENSUAL,11026,100,25000,NO,10,0,200000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,AMCD,AMCD,AMCD,NO,AMCD,NO,AMCD,NO,AMCD,AMCD,AMCD,CETTE,CETTE,NO,NO,NO,CETTE,NO,CETTE,NO,CETTE,CETTE,PRUGASTIT19990212M,PRUGASNOT19550212H,PRUGASNOT19560212M,PRUGASNOT19580212H,PRUGASNOT19990212H,PRUGASNOT20050212H,PRUGASNOT20090212H,PRUGASNOT20130212H,PRUGASNOT20140212H,PRUGASNOT20140212H,PRUGASNOT20190212H,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
2,7,167634.1202952439,emision,GMM,0,CG-111-X,NO,REI,REI,INTEGRO,PESO,03032025,03032025,AGENTE,TRIMESTRAL,11026,100,29000,NO,10,25,170000000,TF,GF,CAE,NO,NO,CEDA,NO,NO,NO,AMCD,AMCD,NO,NO,AMCD,AMCD,AMCD,NO,NO,NO,NO,CETTE,CETTE,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19980212M,PRUGASNOT19980212H,PRUGASNOT20020212M,PRUGASNOT20060212M,PRUGASNOT20100212M,PRUGASNOT20140212M,PRUGASNOT20180212M,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
3,2,61126.32473893219,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,03032025,03032025,AGENTE,ANUAL,11026,100,35000,NO,15,25,400000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19970212M,PRUGASNOT19970212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
4,2,45457.66289423526,emision,GMM,0,CG-111-X,Ambos,REI,REI,PLENO,PESO,03032025,03032025,AGENTE,SEMESTRAL,11026,100,41000,NO,20,50,500000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19960212M,PRUGASNOT19960212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
5,2,38974.5059789261,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,03032025,03032025,AGENTE,MENSUAL,11026,100,47000,NO,25,50,600000,TF,GF,NO,CEC,NO,CEDA,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19950212M,PRUGASNOT19950212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
6,2,47203.521370814575,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,03032025,03032025,AGENTE,TRIMESTRAL,11026,100,53000,NO,10,50,700000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19940212M,PRUGASNOT19940212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
7,7,71066.24398097578,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,03032025,03032025,AGENTE,ANUAL,11026,100,65000,NO,10,50,800000,NO,NO,NO,NO,NO,CEDA,NO,NO,NO,AMCD,NO,NO,AMCD,AMCD,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19930212M,PRUGASNOT19930212H,PRUGASNOT20010212M,PRUGASNOT20050212M,PRUGASNOT20090212M,PRUGASNOT20130212M,PRUGASNOT20170212M,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
8,2,44296.32661086506,emision,GMM,0,CG-111-X,Ambos,REI,REI,PLENO,PESO,03032025,03032025,AGENTE,SEMESTRAL,11026,100,77000,NO,15,0,900000,TF,GF,CAE,CEC,NO,CEDA,DP,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19920212M,PRUGASNOT19920212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
9,2,46879.63072018785,emision,GMM,0,CG-111-X,NO,REI,REI,PLENO,PESO,03032025,03032025,AGENTE,TRIMESTRAL,11026,100,109000,NO,10,25,1500000,TF,GF,CAE,CEC,NO,CEDA,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CETTE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19900212M,PRUGASNOT19900212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
10,2,5352.072,emision,GMM,0,CG-111-X,NO,ANU,UNI,PLENO,PESO,03032025,03032025,AGENTE,ANUAL,11026,100,100000,NO,10,50,2000000,TF,GF,CAE,NO,NO,NO,NO,NO,NO,AMCD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRUGASTIT19890212M,PRUGASNOT19890212H,,,,,,,,,,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,
